timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_length,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,tcp_flags_psh,tcp_flags_urg,eth_src,eth_dst,eth_type,ip_version,ip_ihl,ip_tos,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,tcp_seq,tcp_ack,tcp_dataofs,tcp_window,udp_len,udp_chksum,icmp_type,icmp_code,dns_id,dns_qr,dns_opcode,dns_qname,arp_op,arp_hwsrc,arp_hwdst,http_detected
2023-06-15 14:32:45.123,192.168.1.100,93.184.216.34,52134,443,TCP,74,0,1,0,0,0,0,0,00:1a:2b:3c:4d:5e,00:11:22:33:44:55,2048,4,5,0,12345,2,0,64,6,3735928559,0,5,8192,,,,,,,,,,,,0
2023-06-15 14:32:45.234,93.184.216.34,192.168.1.100,443,52134,TCP,74,0,1,1,0,0,0,0,00:11:22:33:44:55,00:1a:2b:3c:4d:5e,2048,4,5,0,54321,2,0,54,6,1234567890,3735928560,5,8192,,,,,,,,,,,,0
2023-06-15 14:32:45.345,192.168.1.100,93.184.216.34,52134,443,TCP,66,0,0,1,0,0,0,0,00:1a:2b:3c:4d:5e,00:11:22:33:44:55,2048,4,5,0,12346,2,0,64,6,3735928560,1234567891,5,8192,,,,,,,,,,,,0
2023-06-15 14:32:45.456,192.168.1.100,93.184.216.34,52134,443,TCP,517,451,0,1,0,0,1,0,00:1a:2b:3c:4d:5e,00:11:22:33:44:55,2048,4,5,0,12347,2,0,64,6,3735928561,1234567891,5,8192,,,,,,,,,,,,1
2023-06-15 14:32:45.567,93.184.216.34,192.168.1.100,443,52134,TCP,66,0,0,1,0,0,0,0,00:11:22:33:44:55,00:1a:2b:3c:4d:5e,2048,4,5,0,54322,2,0,54,6,1234567891,3735928562,5,8192,,,,,,,,,,,,0
2023-06-15 14:32:45.678,192.168.1.100,8.8.8.8,53612,53,UDP,76,34,0,0,0,0,0,0,00:1a:2b:3c:4d:5e,00:11:22:33:44:55,2048,4,5,0,12348,2,0,64,17,,,,,42,12345,,,12345,0,0,example.com,,,,0
2023-06-15 14:32:45.789,8.8.8.8,192.168.1.100,53,53612,UDP,124,82,0,0,0,0,0,0,00:11:22:33:44:55,00:1a:2b:3c:4d:5e,2048,4,5,0,54323,2,0,54,17,,,,,90,54321,,,12345,1,0,example.com,,,,0
2023-06-15 14:32:45.890,192.168.1.100,192.168.1.1,,,ICMP,84,56,0,0,0,0,0,0,00:1a:2b:3c:4d:5e,00:11:22:33:44:55,2048,4,5,0,12349,2,0,64,1,,,,,,,8,0,,,,,,,,0
2023-06-15 14:32:45.901,192.168.1.1,192.168.1.100,,,ICMP,84,56,0,0,0,0,0,0,00:11:22:33:44:55,00:1a:2b:3c:4d:5e,2048,4,5,0,54324,2,0,64,1,,,,,,,0,0,,,,,,,,0
2023-06-15 14:32:46.012,192.168.1.200,224.0.0.251,5353,5353,UDP,134,92,0,0,0,0,0,0,00:2a:3b:4c:5d:6e,01:00:5e:00:00:fb,2048,4,5,0,0,2,0,255,17,,,,,142,0,,,,,,,,,,0
